degree,course_name,syllabus_url
,,https://docs.ie.edu/university/Grados/BDBA/Capstone_Project.pdf
,,https://docs.ie.edu/university/Calendarios/IEU-Academic-Calendar-2025-2026.pdf
,,https://docs.ie.edu/university/Calendarios/IEU-Academic-Calendar-2026-2027.pdf
,,https://docs.ie.edu/university/Calendarios/IEU-Academic-Calendar-2025-2026.pdf
,,https://docs.ie.edu/university/Calendarios/IEU-Academic-Calendar-2026-2027.pdf
,,https://docs.ie.edu/university/Calendarios/IEU-Academic-Calendar-2025-2026.pdf
,,https://docs.ie.edu/university/Calendarios/IEU-Academic-Calendar-2026-2027.pdf
,,https://docs.ie.edu/university/Calendarios/IEU-Academic-Calendar-2025-2026.pdf
,,https://docs.ie.edu/university/Calendarios/IEU-Academic-Calendar-2026-2027.pdf
,,https://docs.ie.edu/university/Calendarios/IEU-Academic-Calendar-2025-2026.pdf
,,https://docs.ie.edu/university/Calendarios/IEU-Academic-Calendar-2026-2027.pdf
,,https://docs.ie.edu/university/Grados/BHUM/GLOBAL_HISTORY_I.pdf
,,https://docs.ie.edu/university/Grados/BHUM/PHILOSOPHICAL_QUESTIONS_%26_METHODS.pdf
,,https://docs.ie.edu/university/Grados/BHUM/DIGITAL_HUMANITIES.pdf
,,https://docs.ie.edu/university/Grados/BHUM/ADVANCED_WRITING_SKILLS.pdf
,,https://docs.ie.edu/university/Grados/BHUM/MANAGEMENT_TOOLS_AND_PRINCIPLES.pdf
,,https://docs.ie.edu/university/Grados/BHUM/GLOBAL_HISTORY_II.pdf
,,https://docs.ie.edu/university/Grados/BHUM/RHETORIC_AND_STORYTELLING.pdf
,,https://docs.ie.edu/university/Grados/BHUM/FOUNDATIONS_OF_SOCIAL_THEORY.pdf
,,https://docs.ie.edu/university/Grados/BBA_REACREDITACION/Humanities.pdf
,,https://docs.ie.edu/university/Grados/BHUM/INTRODUCTION_TO_PROGRAMMING.pdf
,,https://docs.ie.edu/university/Grados/BHUM/LOGIC_AND_ALGORITHMIC_THINKING.pdf
,,https://docs.ie.edu/university/Calendarios/IEU-Academic-Calendar-2025-2026.pdf
,,https://docs.ie.edu/university/Calendarios/IEU-Academic-Calendar-2026-2027.pdf
,,https://docs.ie.edu/university/Calendarios/IEU-Academic-Calendar-2025-2026.pdf
,,https://docs.ie.edu/university/Calendarios/IEU-Academic-Calendar-2026-2027.pdf
,,https://docs.ie.edu/university/Grados/LLB/2025/EU_LEGAL_HISTORY_LARRAnAGA.pdf
,,https://docs.ie.edu/university/Grados/LLB/2025/CONSTITUTIONAL_LAW-KOUROUTAKIS.pdf
,,https://docs.ie.edu/university/Grados/LLB/2025/INTRO_PRIVATE_LAW_CASILDA_CORTES.pdf
,,https://docs.ie.edu/university/Grados/LLB/2025/ACCOUNTING_JORGE_COLVIN.pdf
,,https://docs.ie.edu/university/Grados/LLB/2025/ECONOMICS_GERARDO_JACOBS.pdf
,,https://docs.ie.edu/university/Grados/LLB/2025/ETHICS__VALUES_ELENA_GARRIGUES.pdf
,,https://docs.ie.edu/university/Grados/LLB/2025/CRIMINAL_LAW_I_PALMIOTTO.pdf
,,https://docs.ie.edu/university/Grados/LLB/2025/CONTRACTS_MALO.pdf
,,https://docs.ie.edu/university/Grados/LLB/2025/WRITING_MARVEL.pdf
,,https://docs.ie.edu/university/Grados/LLB/2025/LEGAL_THOUGHT_BAUTERS.pdf
,,https://docs.ie.edu/university/Grados/LLB/2025/ADMINISTRATIVE_LAW_MARTIN_ARRIBAS.pdf
,,https://docs.ie.edu/university/Grados/IECHALLENGE/Humanities.pdf
,,https://docs.ie.edu/university/Grados/LLB/2025/CRIMINAL_LAW_II_CAPELLO.pdf
,,https://docs.ie.edu/university/Grados/LLB/2025/PROPERTY_ZAMORA.pdf
,,https://docs.ie.edu/university/Grados/LLB/2025/ADMINS__ECONOMIC_REGULATIONS_LAZAR.pdf
,,https://docs.ie.edu/university/Grados/LLB/2025/PUBLIC_INTER_LAW_DELERUE.pdf
,,https://docs.ie.edu/university/Grados/LLB/2025/PERSUASION_ALMANSA.pdf
,,https://docs.ie.edu/university/Grados/IECHALLENGE/TECH.pdf
,,https://docs.ie.edu/university/Grados/LLB/2025/LABOUR_LAW_I_OTERO.pdf
,,https://docs.ie.edu/university/Grados/LLB/2025/EUROPEAN_UNION_LAW_LESKINEN.pdf
,,https://docs.ie.edu/university/Grados/LLB/2025/HUMAN_RIGHTS_VERDUGO.pdf
,,https://docs.ie.edu/university/Grados/LLB/2025/TORTS_BERMEJO.pdf
,,https://docs.ie.edu/university/Grados/LLB/2025/LEGAL_SKILLS_TRANSACTIONS_DAROCA.pdf
